Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;04.06.2021 07:25:19;684090,РОССИЯ,41,Камчатский край,Вилючинский ЗАТО г.о., ,Вилючинск г, ,Кронштадтская ул,,д. 1, , , ,;0005508505034650;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0100150012155992;Общество с ограниченной ответственностью «Эвотор ОФД»;9284000100200216;272301001;0;2;2;2;2;2;2;2;2;2;684090 Камчатский край, г Вилючинск, ул Кронштадтская, д 1 аптека;2
9965;10.07.2020 12:03:00;680000,РОССИЯ,27,Хабаровский край,город Хабаровск г.о., ,Хабаровск г, ,Волочаевская ул,,д. 176, , , ,;0004605634025423;РР-03Ф;;ККТ снята с регистрации;0505850014002152;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100077202;272301001;0;2;2;2;2;2;2;2;2;2;680000,Хабаровский край,город Хабаровск, Волочаевская ул, д. 176 торговый зал;2
9965;10.07.2020 12:29:14;680000,РОССИЯ,27,Хабаровский край,город Хабаровск м.р-н., ,Хабаровск г, ,Волочаевская ул,,д. 176, , , ,;0004605577019708;РР-03Ф;;ККТ снята с регистрации;0473310014002109;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100059044;272301001;0;2;2;2;2;2;2;2;2;2;г Хабаровск, ул Волочаевская, д 176;2
9965;10.07.2020 12:28:19;680000,РОССИЯ,27,Хабаровский край,город Хабаровск м.р-н., ,Хабаровск г, ,Волочаевская ул,,д. 176, , , ,;0004605556009120;РР-03Ф;;ККТ снята с регистрации;0617370014002904;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100077829;272301001;0;2;2;2;2;2;2;2;2;2;г Хабаровск, ул Волочаевская, д 176;2
9965;15.07.2020 04:43:16;680012,РОССИЯ,27,Хабаровский край,город Хабаровск м.р-н., ,Хабаровск г, ,Краснореченская ул,,д. 193, , , ,;0004605442003014;РР-03Ф;;ККТ снята с регистрации;0644750014002906;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100077134;272301001;0;2;2;2;2;2;2;2;2;2;г Хабаровск, ул Краснореченская, д 193;2
9965;14.07.2020 10:51:55;680051,РОССИЯ,27,Хабаровский край,город Хабаровск м.р-н., ,Хабаровск г, ,Ворошилова ул,,д. 31, , , ,;0004605063059729;РР-03Ф;;ККТ снята с регистрации;0268190014002903;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100077201;272301001;0;2;2;2;2;2;2;2;2;2;г Хабаровск, ул Ворошилова, д 31 оптика;2
9965;14.07.2020 10:26:02;680014,РОССИЯ,27,Хабаровский край,город Хабаровск м.р-н., ,Хабаровск г, ,ДОС (Большой Аэродром) кв-л,,д. 51, , , ,;0004604838046977;РР-03Ф;;ККТ снята с регистрации;0557580014003450;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100077823;272301001;0;2;2;2;2;2;2;2;2;2;г Хабаровск, кв-л ДОС (Большой Аэродром), д 51 оптика;2
9965;15.07.2020 04:35:05;680012,РОССИЯ,27,Хабаровский край,город Хабаровск м.р-н., ,Хабаровск г, ,Вахова А.А. ул,,д. 2, , , ,;0004604438007813;РР-03Ф;;ККТ снята с регистрации;0380110014003744;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100077180;272301001;0;2;2;2;2;2;2;2;2;2;г Хабаровск, ул Вахова А.А., д 2 оптика;2
9965;06.07.2020 06:06:26;683013,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский м.р-н., ,Петропавловск-Камчатский г, ,Океанская ул,,д. 123, , , ,;0004600637001590;РИТЕЙЛ-01Ф;31.01.2023 12:00:00;ККТ перерегистрирована;0336230012155929;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684842;272301001;0;2;2;2;2;2;2;2;2;2;г Петропавловск-Камчатский, ул Океанская, д 123 аптека;2
9965;06.07.2020 04:29:05;683024,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский м.р-н., ,Петропавловск-Камчатский г, ,Рыбаков пр-кт,,д. 6, , , ,;0004600557022401;РИТЕЙЛ-01Ф;28.01.2023 12:00:00;ККТ перерегистрирована;0222580012155932;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685016;272301001;0;2;2;2;2;2;2;2;2;2;г Петропавловск-Камчатский, пр-кт Рыбаков, д 6 аптека;2
9965;26.02.2020 08:38:11;684093,РОССИЯ,41,Камчатский край, ,Вилючинск г , , ,Нахимова ул элем. улично-дорожн.сети,,д. 22, , , ,;0004368515011468;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0406630012155991;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300833221;272301001;0;2;2;2;2;2;2;2;2;2;Камчатский край, г Вилючинск, ул Нахимова, д 22 аптека;2
9965;06.02.2020 01:56:13;684036,РОССИЯ,41,Камчатский край,Елизовский р-н м.р-н., ,Вулканный рп н.п., ,Центральная ул элем. улично-дорожн.сети,,д. 26, , , ,;0004349172032688;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0420210012144142;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300838768;272301001;0;2;2;2;2;2;2;2;2;2;рп Вулканный, ул Центральная, д 26 аптека;2
9965;31.01.2020 07:09:08;684005,РОССИЯ,41,Камчатский край,Елизовский р-н м.р-н.,Елизово г , , ,Магистральная ул элем. улично-дорожн.сети,,д. 64, , , ,;0004329731000530;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0059820012144141;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300832423;272301001;0;2;2;2;2;2;2;2;2;2;684005, Камчатский край, г Елизово, ул Магистральная, д 64;2
9965;06.02.2020 01:58:08;684090,РОССИЯ,41,Камчатский край, ,Вилючинск г , , ,Мира ул элем. улично-дорожн.сети,,д. 11, , , ,;0004327748015067;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0311370012144144;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300836330;272301001;0;2;2;2;2;2;2;2;2;2;684090, Камчатский край, г Вилючинск, ул Мира, д 11;2
9965;16.12.2019 01:26:18;683003,РОССИЯ,41,Камчатский край, ,Петропавловск-Камчатский г , , ,Ленинградская ул элем. улично-дорожн.сети,,д. 114, , , ,;0004236080019959;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0543120012155989;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300837935;272301001;0;2;2;2;2;2;2;2;2;2;г Петропавловск-Камчатский, ул Ленинградская, д 114 аптека;2
