Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;31.08.2022 06:49:08;683031,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский г.о., ,Петропавловск-Камчатский г, ,Войцешека ул,,д. 5, , , ,;0006662108028406;РИТЕЙЛ-01ФМ;14.12.2023 12:00:00;ККТ зарегистрирована;0070430012155930;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075372;544301001;0;2;2;2;2;2;2;2;2;2;683031 Камчатский край, г Петропавловск-Камчатский, ул Войцешека, д 5;1
9965;19.02.2020 07:56:07;683031,РОССИЯ,41,Камчатский край, ,Петропавловск-Камчатский г , , ,Войцешека ул элем. улично-дорожн.сети,,д. 5, , , ,;0004368615024728;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0070430012155930;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300836596;544301001;0;2;2;2;2;2;2;2;2;2;г Петропавловск-Камчатский, ул Войцешека, д 5 аптека;2
9965;04.02.2020 09:41:17;683032,РОССИЯ,41,Камчатский край, ,Петропавловск-Камчатский г , , ,Атласова ул элем. улично-дорожн.сети,,д. 19, , , ,;0004328278053062;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0302180012155088;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300838494;544301001;0;2;2;2;2;2;2;2;2;2;683032, г Петропавловск-Камчатский, ул Атласова, д 19;2
