Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;04.05.2018 10:20:07;628408,РОССИЯ,86,Ханты-Мансийский автономный округ - Югра, ,Сургут г , , ,Югорский тракт элем. улично-дорожн.сети,,д. 2, , , ,;0001813359056467;РР-03Ф;;ККТ снята с регистрации;0474210014001854;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300697880;720301001;0;2;2;2;2;2;2;2;2;2;аптека в ТЦ;2
9965;04.05.2018 09:18:25;628406,РОССИЯ,86,Ханты-Мансийский автономный округ - Югра, ,Сургут г , , ,30 лет Победы ул элем. улично-дорожн.сети,,д. 74, , , ,;0001813041022581;РР-03Ф;;ККТ снята с регистрации;0019150014001855;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300697684;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;14.03.2018 08:47:38;625007,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Мельникайте ул элем. улично-дорожн.сети,,д. 135, , , ,;0001701238012122;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0529200002043862;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011959;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;01.03.2018 09:38:25;625048,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Профсоюзная ул элем. улично-дорожн.сети,,д. 1, , ,к. 1 к,;0001685561023711;РР-03Ф;;ККТ снята с регистрации;0243680014002165;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100249356;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;;652057,РОССИЯ,42,Кемеровская область - Кузбасс, ,Юрга г , , ,Волгоградская ул ,, 29, , , ,;0001685452010106;РР-03Ф;;Отказ по заявлению;0260110014002156;Общество с ограниченной ответственностью "Ярус";8710000101213464;720301001;0;2;2;2;2;2;2;2;2;2;аптека;
9965;28.02.2018 02:17:36;625051,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Прокопия Артамонова ул элем. улично-дорожн.сети,,д. д 9/1, , , ,;0001684353024382;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации НО, ожидается отчет;0093500002018433;Общество с ограниченной ответственностью «Ярус»;8710000101019904;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;28.02.2018 01:27:17;625062,РОССИЯ,72,Тюменская область,город Тюмень м.р-н., ,Тюмень г, ,Дмитрия Менделеева ул,,д. 1, , , ,;0001684137036590;РР-03Ф;20.01.2023 12:00:00;ККТ перерегистрирована;0263700014002216;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685556;720301001;0;2;2;2;2;2;2;2;2;2;625062 Тюменская обл, г Тюмень, ул Дмитрия Менделеева, д 1 аптека;2
9965;28.02.2018 11:24:24;625019,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Республики ул элем. улично-дорожн.сети,,д. 215А, , , ,;0001683586053881;РР-03Ф;;ККТ снята с регистрации НО;0544840014002163;Общество с ограниченной ответственностью «Ярус»;8710000101020267;720301001;0;2;2;2;2;2;2;2;2;2;Аптека;2
9965;27.02.2018 02:59:35;625033,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Дмитрия Менделеева ул элем. улично-дорожн.сети,,д. 1, , , ,;0001681774044151;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0592360007012696;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011927;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;27.02.2018 02:03:20;625007,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Мельникайте ул элем. улично-дорожн.сети,,д. 139, , , ,;0001681547055508;РР-03Ф;;ККТ снята с регистрации;0257080014001856;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300697432;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;27.02.2018 01:18:02;625016,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Пермякова ул элем. улично-дорожн.сети,,д. 62, , , ,;0001681388035227;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0469200002043869;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;8710000101019005;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
