Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;11.05.2018 12:30:07;660003,РОССИЯ,24,Красноярский край, ,Красноярск г г.п., , ,Кутузова ул элем. улично-дорожн.сети,,д. 42Е, , , ,;0001806729043505;РИТЕЙЛ-01Ф;04.03.2022 12:00:00;ККТ перерегистрирована;0203740012131159;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300936314;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;11.05.2018 12:27:26;660069,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,им газеты Красноярский Рабочий пр-кт ,, 53, , , ,;0001805404041862;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0255440012131124;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100022554;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;08.05.2018 11:00:09;630090,РОССИЯ,54,Новосибирская область, ,Новосибирск г г.п., , ,Морской пр-кт элем. улично-дорожн.сети,,д. 6, , , ,;0001804802021444;РР-03Ф;16.05.2023 12:00:00;ККТ перерегистрирована;0532830014003442;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685996;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.05.2018 07:18:37;660001,РОССИЯ,24,Красноярский край, ,Красноярск г г.п., , ,Копылова ул элем. улично-дорожн.сети,,д. 66, , , ,;0001803320039540;РИТЕЙЛ-01Ф;01.03.2022 12:00:00;ККТ перерегистрирована;0485930012131132;Общество с ограниченной ответственностью «Эвотор ОФД»;9289000100487583;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;08.05.2018 09:53:04;660001,РОССИЯ,24,Красноярский край, ,Красноярск г г.п., , ,Копылова ул элем. улично-дорожн.сети,,д. 66, , , ,;0001803315002243;РИТЕЙЛ-01Ф;01.03.2022 12:00:00;ККТ перерегистрирована;0357530012131104;Общество с ограниченной ответственностью «Эвотор ОФД»;9289000100487506;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;11.05.2018 12:34:09;660017,РОССИЯ,24,Красноярский край, ,Красноярск г г.п., , ,Карла Маркса ул элем. улично-дорожн.сети,,д. 92, , , ,;0001803304047944;РИТЕЙЛ-01Ф;05.03.2022 12:00:00;ККТ перерегистрирована;0357360012131106;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300937408;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;11.05.2018 12:26:34;660013,РОССИЯ,24,Красноярский край,город Красноярск м.р-н., ,Красноярск г, ,Волжская ул,,д. 9, , , ,;0001802924048634;РИТЕЙЛ-01Ф;04.03.2022 12:00:00;ККТ перерегистрирована;0622220012131129;Общество с ограниченной ответственностью «Эвотор ОФД»;9289000100487877;540201001;0;2;2;2;2;2;2;2;2;2;660013 г Красноярск, ул Волжская, д 9 аптека;2
9965;11.05.2018 11:51:26;660125,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,Водопьянова ул ,, 11, , , ,;0001802865034342;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0570710012131151;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100025105;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;11.05.2018 12:25:11;660077,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,Батурина ул ,, 10, , , ,;0001802584056499;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0490210012131117;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100024355;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;28.05.2018 12:39:59;660125,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,9 Мая ул элем. улично-дорожн.сети,,д. 77, , , ,;0001802554017653;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0022190012131120;Общество с ограниченной ответственностью «Эвотор ОФД»;9289000100488448;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
