Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;14.03.2019 04:55:29;633010,РОССИЯ,54,Новосибирская область,город Бердск г.о., ,Бердск г, ,Ленина ул,,д. 83, , , ,;0003004681030113;РИТЕЙЛ-01Ф;21.10.2022 12:00:00;ККТ перерегистрирована;0395490012146729;Общество с ограниченной ответственностью «Эвотор ОФД»;9289000100267794;544301001;0;2;2;2;2;2;2;2;2;2;633010, Новосибирская обл, г Бердск, ул Ленина, д 83, аптека;2
9965;14.03.2019 04:56:42;633010,РОССИЯ,54,Новосибирская область,город Бердск г.о., ,Бердск г, ,Ленина ул,,д. 83, , , ,;0003004653026463;РИТЕЙЛ-01Ф;21.10.2022 12:00:00;ККТ перерегистрирована;0205250012146731;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684844;544301001;0;2;2;2;2;2;2;2;2;2;633010, Новосибирская обл, г Бердск, ул Ленина, д 83, аптека;2
9965;14.03.2019 04:59:30;630095,РОССИЯ,54,Новосибирская область, ,Новосибирск г г.п., , ,Солидарности ул элем. улично-дорожн.сети,,д. 65, , , ,;0003004578011642;РИТЕЙЛ-01Ф;25.10.2022 12:00:00;ККТ перерегистрирована;0007800012146732;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684642;544301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;14.03.2019 04:58:28;630095,РОССИЯ,54,Новосибирская область, ,Новосибирск г г.п., , ,Солидарности ул элем. улично-дорожн.сети,,д. 65, , , ,;0003004463029912;РИТЕЙЛ-01Ф;25.10.2022 12:00:00;ККТ перерегистрирована;0567530012155514;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684965;544301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;14.03.2019 04:57:32;633216,РОССИЯ,54,Новосибирская область,Искитимский р-н , ,Линево рп , ,Коммунистический пр-кт ,, 5, , , ,;0003004703029368;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0426510012155087;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9289000100267610;544301001;0;2;2;2;2;2;2;2;2;2;аптека;2
